timestamp,gpu_util_percent,gpu_mem_used_mb,active_pods
1773170830,0,0,6
1773170834,0,0,6
1773170836,0,0,6
1773170838,0,0,6
1773170841,0,0,6
1773170844,0,0,6
1773170846,0,0,6
1773170848,0,0,6
1773170850,0,0,6
1773170852,0,0,6
1773170854,0,0,6
1773170856,0,0,6
1773170858,0,0,6
1773170861,0,0,6
1773170863,0,0,6
1773170865,0,0,6
1773170867,0,0,6
1773170870,0,0,6
1773170872,0,0,6
1773170875,0,0,6
1773170878,0,0,6
1773170881,0,0,6
1773170883,0,0,6
1773170885,0,0,6
1773170887,0,0,6
1773170889,0,0,6
1773170891,0,0,6
1773170895,0,0,6
1773170898,0,0,6
1773170902,0,0,6
1773170905,0,0,6
1773170908,0,0,6
1773170911,0,0,6
1773170915,0,0,6
1773170918,0,0,6
1773170920,0,0,6
1773170923,0,0,6
1773170926,0,0,6
1773170929,0,0,6
1773170931,0,0,6
1773170933,0,0,6
1773170936,0,0,6
1773170939,0,0,6
1773170941,0,0,6
1773170944,0,0,6
