timestamp,gpu_util_percent,gpu_mem_used_mb,active_pods
1773170603,0,0,1
1773170607,0,0,1
1773170609,0,0,1
1773170611,0,0,1
1773170614,0,0,1
1773170616,0,0,1
1773170618,0,0,1
1773170620,0,0,1
1773170621,0,0,1
1773170623,0,0,1
1773170625,0,0,1
1773170627,0,0,1
1773170629,0,0,1
1773170631,0,0,1
1773170633,0,0,1
1773170635,0,0,1
1773170637,0,0,1
1773170640,0,0,1
1773170642,0,0,1
1773170645,0,0,1
1773170646,0,0,1
1773170648,0,0,1
1773170650,0,0,1
1773170652,0,0,1
1773170654,0,0,1
1773170657,0,0,1
1773170658,0,0,1
1773170660,0,0,1
1773170662,0,0,1
1773170665,0,0,1
